code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon
0931565W,Lycée Flora Tristan,lycée d'enseignement général et technologique,public,Créteil,93,Noisy-le-Grand,93051,93166,27 RUE DES HAUTS ROSEAUX,48.84372546299013,2.574112902703786
0772292Y,Lycée Martin Luther King,lycée d'enseignement général et technologique,public,Créteil,77,Bussy-Saint-Georges,77058,77600,21 avenue du Général de Gaulle,48.84002483297081,2.7179296097548233
0931738J,Lycée professionnel Arthur Rimbaud,lycée professionnel,public,Créteil,93,La Courneuve,93027,93120,112 avenue Jean Jaurès,48.9216818786026,2.4083710672020717
0931193S,Lycée professionnel Hélène Boucher,lycée professionnel,public,Créteil,93,Tremblay-en-France,93073,93290,70 avenue GILBERT BERGER,48.95033268562586,2.578836532741558
0931430Z,Lycée Jacques Brel,lycée d'enseignement général et technologique,public,Créteil,93,La Courneuve,93027,93120,4 rue DULCIE SEPTEMBER,48.929624886331744,2.400326472996749
0932638M,Lycée polyvalent international de l'Est parisien,lycée polyvalent,public,Créteil,93,Noisy-le-Grand,93051,93160,"1, promenade Marco-Polo",48.841621947798245,2.5405863314456787
0941294W,Lycée polyvalent Adolphe Chérioux,lycée polyvalent,public,Créteil,94,Vitry-sur-Seine,94081,94401,195 rue Julian Grimau,48.78045270942322,2.3733277666370354
0772310T,Lycée polyvalent Simone Signoret,lycée polyvalent,public,Créteil,77,Vaux-le-Pénil,77487,77000,Place DU 14 JUILLET,48.53091007605829,2.6726315665095157
0932116V,Lycée polyvalent Eugénie Cotton,lycée polyvalent,public,Créteil,93,Montreuil,93048,93100,58 avenue FAIDHERBE,48.866878653427094,2.4369279971695375
0940137N,Lycée professionnel la Source,lycée polyvalent,public,Créteil,94,Nogent-sur-Marne,94052,94130,54 avenue de la Source,48.830184203953856,2.465733598651929
0940117S,Lycée Édouard Branly,lycée d'enseignement général,public,Créteil,94,Nogent-sur-Marne,94052,94130,8 rue BAUYN DE PERREUSE,48.83523004014952,2.4826050782584668
0930130L,Lycée professionnel Condorcet,lycée professionnel,public,Créteil,93,Montreuil,93048,93101,31 rue DESIRE CHEVALIER,48.85750093339525,2.445528654993236
0932117W,Lycée polyvalent Lucie Aubrac,lycée polyvalent,public,Créteil,93,Pantin,93055,93500,51 rue Victor Hugo,48.89395126138246,2.408073793087787
0770942F,Lycée polyvalent Thibaut de Champagne,lycée polyvalent,public,Créteil,77,Provins,77379,77160,3 rue du Collège,48.56122970638866,3.292234142318948
0932030B,Lycée polyvalent Maurice Utrillo,lycée polyvalent,public,Créteil,93,Stains,93072,93240,152 rue JEAN DURAND,48.95257590227558,2.3694117398901255
0932026X,Lycée polyvalent Alfred Nobel,lycée polyvalent,public,Créteil,93,Clichy-sous-Bois,93014,93390,20 allée DE GAGNY,48.90343886871677,2.548190117189201
0772230F,Lycée polyvalent Blaise Pascal,lycée polyvalent,public,Créteil,77,Brie-Comte-Robert,77053,77253,15 allée DU COMMANDANT GUESNET,48.69823378289177,2.595324045901765
0932126F,Lycée polyvalent François Rabelais,lycée polyvalent,public,Créteil,93,Dugny,93030,93440,Rue FRANCOIS RABELAIS,48.94908080001653,2.4172891234396072
0942269F,Lycée Pauline Roland,lycée polyvalent,public,Créteil,94,Chevilly-Larue,94021,94550,17 avenue DU GENERAL DE GAULLE,48.77285638144974,2.3401106946732
0930135S,Lycée professionnel Simone Weil,lycée professionnel,public,Créteil,93,Pantin,93055,93500,6 rue DELIZY,48.89544091786192,2.4096103845694055
0941298A,Lycée professionnel Jules Michelet,lycée professionnel,public,Créteil,94,Fontenay-sous-Bois,94033,94120,2-4 rue Béranger,48.852087694925295,2.4731761275858335
0931613Y,Lycée Louise Michel,lycée d'enseignement général et technologique,public,Créteil,93,Bobigny,93008,93000,70 avenue Jean Jaurès,48.902080737124066,2.440758244161289
0930117X,Lycée Le Corbusier,lycée d'enseignement général et technologique,public,Créteil,93,Aubervilliers,93001,93533,44 rue Léopold Rechossière,48.91446163195137,2.3902951798257757
0930834B,Lycée Voillaume,lycée d'enseignement général et technologique,public,Créteil,93,Aulnay-sous-Bois,93005,93604,136 rue DE MITRY,48.94454426421222,2.5082514034395587
0931272C,Lycée Gustave Eiffel,lycée d'enseignement général et technologique,public,Créteil,93,Gagny,93032,93220,16 CHEMIN DE LA RENARDIERE,48.88870710130037,2.5412578188344055
0932783V,Lycée Joséphine Baker,lycée polyvalent,public,Créteil,93,Saint-Denis,93066,93200,"2-10, rue d'Amiens",48.95327463878157,2.368387362801961
0772342C,Lycée polyvalent Clément Ader,lycée polyvalent,public,Créteil,77,Tournan-en-Brie,77470,77220,74 RUE GEORGES CLEMENCEAU,48.74289262798635,2.749278337472371
0931779D,Lycée de l'horticulture et du paysage Jeanne Baret,lycée polyvalent,public,Créteil,93,Montreuil,93048,93512,16 rue PAUL DOUMER,48.85968843096663,2.456572927550601
0770924L,Campus scolaire de Coulommiers,lycée polyvalent,public,Créteil,77,Coulommiers,77131,77527,6 rue des Templiers,48.824500986490555,3.0929269915167716
0930133P,Lycée professionnel Théodore Monod,lycée professionnel,public,Créteil,93,Noisy-le-Sec,93053,93130,187 rue DE BREMENT,48.88744786715092,2.4665425279205513
