code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon,velo_temps_s,transport_temps_s,velo_temps_min,transport_temps_min,temps_min_s,temps_min_min,zone
0772292Y,Lycée Martin Luther King,lycée d'enseignement général et technologique,public,Créteil,77,Bussy-Saint-Georges,77058,77600,21 avenue du Général de Gaulle,48.84002483297081,2.717929609754824,8827,3723.0,147.11666666666667,62.05,3723.0,62.05,Zone Nord Seine et Marne
0931738J,Lycée professionnel Arthur Rimbaud,lycée professionnel,public,Créteil,93,La Courneuve,93027,93120,112 avenue Jean Jaurès,48.9216818786026,2.408371067202072,2151,1890.0,35.85,31.5,1890.0,31.5,Zone Saint Denis
0931193S,Lycée professionnel Hélène Boucher,lycée professionnel,public,Créteil,93,Tremblay-en-France,93073,93290,70 avenue GILBERT BERGER,48.95033268562586,2.578836532741558,5524,3918.0,92.06666666666666,65.3,3918.0,65.3,Zone Sevran
0931430Z,Lycée Jacques Brel,lycée d'enseignement général et technologique,public,Créteil,93,La Courneuve,93027,93120,4 rue DULCIE SEPTEMBER,48.929624886331744,2.400326472996749,2389,2564.0,39.81666666666667,42.73333333333333,2389.0,39.81666666666667,Zone Saint Denis
0932638M,Lycée polyvalent international de l'Est parisien,lycée polyvalent,public,Créteil,93,Noisy-le-Grand,93051,93160,"1, promenade Marco-Polo",48.841621947798245,2.5405863314456787,4575,3014.0,76.25,50.23333333333333,3014.0,50.23333333333333,Zone Noisy le Grand
0941294W,Lycée polyvalent Adolphe Chérioux,lycée polyvalent,public,Créteil,94,Vitry-sur-Seine,94081,94401,195 rue Julian Grimau,48.78045270942322,2.373327766637036,3085,3484.0,51.41666666666666,58.06666666666667,3085.0,51.41666666666666,Zone Vitry sur Seine
0772310T,Lycée polyvalent Simone Signoret,lycée polyvalent,public,Créteil,77,Vaux-le-Pénil,77487,77000,Place DU 14 JUILLET,48.53091007605829,2.672631566509516,14473,5532.0,241.21666666666667,92.2,5532.0,92.2,Zone Sud Seine et Marne
0932116V,Lycée polyvalent Eugénie Cotton,lycée polyvalent,public,Créteil,93,Montreuil,93048,93100,58 avenue FAIDHERBE,48.86687865342709,2.436927997169537,2196,2065.0,36.6,34.416666666666664,2065.0,34.416666666666664,Zone Noisy le Grand
0940137N,Lycée professionnel la Source,lycée polyvalent,public,Créteil,94,Nogent-sur-Marne,94052,94130,54 avenue de la Source,48.830184203953856,2.465733598651929,2846,2391.0,47.43333333333333,39.85,2391.0,39.85,Zone Champigny sur Marne
0940117S,Lycée Édouard Branly,lycée d'enseignement général,public,Créteil,94,Nogent-sur-Marne,94052,94130,8 rue BAUYN DE PERREUSE,48.83523004014952,2.4826050782584668,3042,2667.0,50.7,44.45,2667.0,44.45,Zone Champigny sur Marne
0930130L,Lycée professionnel Condorcet,lycée professionnel,public,Créteil,93,Montreuil,93048,93101,31 rue DESIRE CHEVALIER,48.85750093339525,2.445528654993236,2109,1992.0,35.15,33.2,1992.0,33.2,Zone Noisy le Grand
0932117W,Lycée polyvalent Lucie Aubrac,lycée polyvalent,public,Créteil,93,Pantin,93055,93500,51 rue Victor Hugo,48.89395126138246,2.408073793087787,1658,1773.0,27.633333333333333,29.55,1658.0,27.633333333333333,Zone Bobigny
0770942F,Lycée polyvalent Thibaut de Champagne,lycée polyvalent,public,Créteil,77,Provins,77379,77160,3 rue du Collège,48.56122970638866,3.292234142318948,25565,7006.0,426.0833333333333,116.76666666666668,7006.0,116.76666666666668,Zone Sud Est Seine et Marne
0932030B,Lycée polyvalent Maurice Utrillo,lycée polyvalent,public,Créteil,93,Stains,93072,93240,152 rue JEAN DURAND,48.95257590227558,2.369411739890125,2825,3032.0,47.083333333333336,50.53333333333333,2825.0,47.083333333333336,Zone Saint Denis
0932026X,Lycée polyvalent Alfred Nobel,lycée polyvalent,public,Créteil,93,Clichy-sous-Bois,93014,93390,20 allée DE GAGNY,48.90343886871677,2.548190117189201,4655,3751.0,77.58333333333333,62.516666666666666,3751.0,62.516666666666666,Zone Noisy le Grand
0772230F,Lycée polyvalent Blaise Pascal,lycée polyvalent,public,Créteil,77,Brie-Comte-Robert,77053,77253,15 allée DU COMMANDANT GUESNET,48.69823378289177,2.595324045901765,8190,5001.0,136.5,83.35,5001.0,83.35,Zone Centre Seine et Marne
0932126F,Lycée polyvalent François Rabelais,lycée polyvalent,public,Créteil,93,Dugny,93030,93440,Rue FRANCOIS RABELAIS,48.94908080001653,2.4172891234396072,3335,2857.0,55.583333333333336,47.61666666666667,2857.0,47.61666666666667,Zone Bobigny
0942269F,Lycée Pauline Roland,lycée polyvalent,public,Créteil,94,Chevilly-Larue,94021,94550,17 avenue DU GENERAL DE GAULLE,48.77285638144974,2.3401106946732,3583,3119.0,59.71666666666667,51.98333333333333,3119.0,51.98333333333333,Zone Vitry sur Seine
0930135S,Lycée professionnel Simone Weil,lycée professionnel,public,Créteil,93,Pantin,93055,93500,6 rue DELIZY,48.89544091786192,2.409610384569405,1693,1827.0,28.216666666666665,30.45,1693.0,28.216666666666665,Zone Bobigny
0941298A,Lycée professionnel Jules Michelet,lycée professionnel,public,Créteil,94,Fontenay-sous-Bois,94033,94120,2-4 rue Béranger,48.852087694925295,2.473176127585833,2931,2471.0,48.85,41.18333333333333,2471.0,41.18333333333333,Zone Champigny sur Marne
0931613Y,Lycée Louise Michel,lycée d'enseignement général et technologique,public,Créteil,93,Bobigny,93008,93000,70 avenue Jean Jaurès,48.90208073712407,2.440758244161289,2435,2403.0,40.583333333333336,40.05,2403.0,40.05,Zone Bobigny
0930117X,Lycée Le Corbusier,lycée d'enseignement général et technologique,public,Créteil,93,Aubervilliers,93001,93533,44 rue Léopold Rechossière,48.91446163195137,2.390295179825776,1871,2525.0,31.183333333333334,42.083333333333336,1871.0,31.183333333333334,Zone Saint Denis
0930834B,Lycée Voillaume,lycée d'enseignement général et technologique,public,Créteil,93,Aulnay-sous-Bois,93005,93604,136 rue DE MITRY,48.94454426421222,2.5082514034395587,4603,2503.0,76.71666666666667,41.71666666666667,2503.0,41.71666666666667,Zone Sevran
0931272C,Lycée Gustave Eiffel,lycée d'enseignement général et technologique,public,Créteil,93,Gagny,93032,93220,16 CHEMIN DE LA RENARDIERE,48.88870710130037,2.541257818834405,4891,3650.0,81.51666666666667,60.833333333333336,3650.0,60.833333333333336,Zone Noisy le Grand
